iteration,best_cost,best_vehicle_num,time_elapsed,avg_cost,current_iter_best
0,113677.92565903933,371,15.465498447418213,119506.43698052647,113677.92565903933
1,85144.65332212052,270,29.030020713806152,90176.72204187849,85144.65332212052
2,77223.74214160265,238,41.70408916473389,80670.44647018475,77223.74214160265
3,74081.04715564949,233,53.76948285102844,76213.09759755096,74081.04715564949
4,68933.6559527714,220,65.14394879341125,72673.06136301809,68933.6559527714
5,66607.56391971506,204,76.21182298660278,70229.52972898106,66607.56391971506
6,66227.70559272119,208,87.40819573402405,67524.01534324678,66227.70559272119
7,63368.13281895382,195,99.7382140159607,66059.44111047356,63368.13281895382
8,61345.51729942323,190,110.94837641716003,64748.070894803175,61345.51729942323
9,59893.638693723886,184,122.30454850196838,63913.56150278186,59893.638693723886
10,59893.638693723886,184,133.13995480537415,62961.69132839944,60556.98762238305
11,59136.72081262924,177,143.83661341667175,61961.48468018158,59136.72081262924
12,56886.95405110911,175,154.93724751472473,61093.93455597871,56886.95405110911
13,56886.95405110911,175,165.97352194786072,60612.50011434974,58290.85445148443
14,56886.95405110911,175,176.76286578178406,59730.07319294433,57000.79698184811
15,56854.802768676986,172,189.4414403438568,59941.130481614986,56854.802768676986
16,54906.75957462076,165,210.46431016921997,58589.3085423837,54906.75957462076
17,54906.75957462076,165,232.4814977645874,58498.91843018394,56721.586097082625
18,54351.526344121085,161,251.88834762573242,57602.489137900564,54351.526344121085
19,54054.08321894961,164,273.52459383010864,56727.25214238649,54054.08321894961
20,54054.08321894961,164,289.53274273872375,57269.10582542056,55425.16232380793
21,54054.08321894961,164,308.16353130340576,57352.2580820122,54716.78406929812
22,53593.23472603048,159,324.3688600063324,56286.199523367104,53593.23472603048
23,53593.23472603048,159,338.8522894382477,56289.444039598246,53671.70330655075
24,53320.17000761195,155,351.8519310951233,55839.72003989044,53320.17000761195
25,53320.17000761195,155,369.10509419441223,56570.41710183596,54013.7731965173
26,53320.17000761195,155,384.5045750141144,56012.490108853824,54669.64875131829
27,52237.00733693829,158,399.546101808548,55310.9375556415,52237.00733693829
28,52237.00733693829,158,413.1991403102875,55187.081463633556,52395.27414921794
29,51621.51484768247,156,427.88283038139343,55679.72328201992,51621.51484768247
30,51621.51484768247,156,441.9054696559906,54671.17304126903,52648.94543697002
31,51621.51484768247,156,455.17316246032715,54432.095105969755,52143.00977993884
32,51621.51484768247,156,466.5759165287018,54245.03586223271,52572.787948357785
33,51621.51484768247,156,477.61534452438354,54831.59509753036,53007.988526968555
34,51621.51484768247,156,488.8632490634918,54164.85746481528,51622.80242637046
35,50419.97102069915,149,500.1026282310486,53801.62349889522,50419.97102069915
36,50419.97102069915,149,510.7967710494995,53845.98390125771,51875.817517932
37,50419.97102069915,149,521.7996337413788,53745.14820757303,51192.46131464679
38,50419.97102069915,149,534.730898141861,53880.06409820262,51695.11766716893
39,50419.97102069915,149,547.7428443431854,53760.63637650849,51786.03692246365
40,50419.97102069915,149,560.8124890327454,53048.93110620022,51064.875782747935
41,50419.97102069915,149,572.2134785652161,52652.01873298579,50927.3911557295
42,50419.97102069915,149,584.5606696605682,53124.92160473087,51323.80635654799
43,50419.97102069915,149,596.7448666095734,52573.19866514035,50536.36700098589
44,50172.11332286272,151,609.8203427791595,52026.3085014521,50172.11332286272
45,50172.11332286272,151,622.3035118579865,52090.450603343554,50394.002774080276
46,49982.537613400746,147,635.1728658676147,51784.83733583754,49982.537613400746
47,49867.91570768521,146,646.5868790149689,51969.084469857975,49867.91570768521
48,49867.91570768521,146,657.6270513534546,51982.69622507707,49944.06255268522
49,49606.77079104205,146,670.4919629096985,51995.17114493831,49606.77079104205
50,49263.64280082207,143,682.2623465061188,52068.361828067216,49263.64280082207
51,49263.64280082207,143,692.918390750885,51984.100598624624,50079.29624053732
52,49263.64280082207,143,703.7454676628113,51572.36252906748,49582.31627626248
53,49263.64280082207,143,716.3979215621948,51281.14063369807,49447.531254363465
54,49263.64280082207,143,728.4191088676453,51644.947522299575,49840.885848093974
55,49018.1185053815,140,741.9208805561066,51379.279871860395,49018.1185053815
56,49018.1185053815,140,754.9360294342041,51244.014902188756,49608.41115308527
57,49018.1185053815,140,767.583446264267,51127.682269540746,49957.691963343896
58,48842.08878012005,140,779.314444065094,51093.49512492064,48842.08878012005
59,48842.08878012005,140,790.6055426597595,50448.36016509443,49208.76999546171
60,48709.239474638205,139,804.2770142555237,50519.56068587324,48709.239474638205
61,48709.239474638205,139,817.1680648326874,50767.78997528537,49341.00903566683
62,48704.20508472334,141,828.3834958076477,50652.13011781273,48704.20508472334
63,48704.20508472334,141,839.055864572525,50979.14767501115,49463.58044347736
64,48704.20508472334,141,851.2139286994934,50767.004802202835,49115.85822402768
65,48703.14864320243,142,861.3140740394592,50567.483586077135,48703.14864320243
66,48586.595724748746,141,871.246547460556,50311.71139431572,48586.595724748746
67,48475.61825437858,139,881.0456006526947,50553.748853316465,48475.61825437858
68,48475.61825437858,139,891.0765676498413,50570.03134291051,48756.825747172334
69,48475.61825437858,139,901.3064234256744,50126.01687201786,48648.535265440165
70,48475.61825437858,139,911.4668653011322,50674.305948037574,49038.76686437652
71,48276.25511432912,138,922.6166040897369,49950.8362455117,48276.25511432912
72,48276.25511432912,138,932.9129796028137,51049.52395748896,48969.05118853009
73,48114.28965399274,134,944.5920653343201,50027.278482466376,48114.28965399274
74,48001.202712344326,139,957.9798600673676,50668.060912296256,48001.202712344326
75,48001.202712344326,139,969.0594117641449,50020.3903044935,48766.59346246561
76,48001.202712344326,139,981.6063437461853,50248.899482115485,48560.32879877956
77,47917.8877158642,137,993.9694809913635,50206.001229103014,47917.8877158642
78,47917.8877158642,137,1006.1985611915588,50417.33258491984,48003.297004170505
79,47917.8877158642,137,1018.0345892906189,49958.62765185649,48470.6777097877
80,47917.8877158642,137,1029.855089187622,50119.99775449626,48471.38810787281
81,47917.8877158642,137,1041.175350189209,50057.02769033554,48097.20986130074
82,47917.8877158642,137,1053.581805229187,50125.98593276273,48728.802350394864
83,47917.8877158642,137,1064.9197924137115,50075.238794170764,47992.30511754573
84,47431.037746481925,133,1077.7089204788208,49726.78692263369,47431.037746481925
85,47431.037746481925,133,1088.8810772895813,49694.41653596444,47977.43253734485
86,47431.037746481925,133,1101.6789281368256,49780.43962231304,48614.1036995665
